,min_time,Number of DCs,Camden,Modesto,Fixed_Den_Pitt,Fixed_Plant_Const,cost,Pitt?
1,5,2,9000000.0,8054689.0,False,True,12250392.940000001,False
1,5,3,9000000.0,8054689.0,False,True,11966625.87,False
1,5,4,9000000.0,8054689.0,False,True,11739513.059999999,False
1,5,5,9000000.0,8054689.0,False,True,11657265.780000001,True
1,5,6,9000000.0,8054689.0,False,True,11630776.379999999,True
1,5,7,9000000.0,8054689.0,False,True,11607942.129999999,True
1,5,8,9000000.0,8054689.0,False,True,11588393.56,True
1,5,9,9000000.0,8054689.0,False,True,11574900.25,True
1,5,10,9000000.0,8054689.0,False,True,11563181.92,True
1,5,11,9000000.0,8054689.0,False,True,11556261.470000003,True
1,5,12,9000000.0,8054689.0,False,True,11554957.930000002,True
1,5,13,9000000.0,8054689.0,False,True,11554957.930000002,True
1,5,14,9000000.0,8054689.0,False,True,11554957.930000002,True
1,5,15,9000000.0,8054689.0,False,True,11554957.93,True
1,4,2,9000000.0,8054689.0,False,True,12250392.940000001,False
1,4,3,9000000.0,8054689.0,False,True,11966625.87,False
1,4,4,9000000.0,8054689.0,False,True,11739513.059999999,False
1,4,5,9000000.0,8054689.0,False,True,11657265.78,True
1,4,6,9000000.0,8054689.0,False,True,11630776.379999999,True
1,4,7,9000000.0,8054689.0,False,True,11607942.129999999,True
1,4,8,9000000.0,8054689.0,False,True,11588393.56,True
1,4,9,9000000.0,8054689.0,False,True,11574900.25,True
1,4,10,9000000.0,8054689.0,False,True,11563181.919999998,True
1,4,11,9000000.0,8054689.0,False,True,11556261.47,True
1,4,12,9000000.0,8054689.0,False,True,11554957.93,True
1,4,13,9000000.0,8054689.0,False,True,11554957.93,True
1,4,14,9000000.0,8054689.0,False,True,11554957.93,True
1,4,15,9000000.0,8054689.0,False,True,11554957.93,True
1,3,2,9000000.0,8054689.0,False,True,12499323.47,False
1,3,3,9000000.0,8054689.0,False,True,12004419.92,False
1,3,4,9000000.0,8054689.0,False,True,11777307.11,False
1,3,5,9000000.0,8054689.0,False,True,11695059.829999998,True
1,3,6,9000000.0,8054689.0,False,True,11661863.299999999,True
1,3,7,9000000.0,8054689.0,False,True,11635373.899999999,True
1,3,8,9000000.0,8054689.0,False,True,11612539.649999999,True
1,3,9,9000000.0,8054689.0,False,True,11599046.34,True
1,3,10,9000000.0,8054689.0,False,True,11587328.01,True
1,3,11,9000000.0,8054689.0,False,True,11580407.559999999,True
1,3,12,9000000.0,8054689.0,False,True,11579104.02,True
1,3,13,9000000.0,8054689.0,False,True,11579104.02,True
1,3,14,9000000.0,8054689.0,False,True,11579104.02,True
1,3,15,9000000.0,8054689.0,False,True,11579104.02,True
1,2,2,9000000.0,8054689.0,False,True,17467223.990000002,False
1,2,3,9000000.0,8054689.0,False,True,16145769.62,False
1,2,4,9000000.0,8054689.0,False,True,15228190.309999999,False
1,2,5,9000000.0,8054689.0,False,True,14628632.379999997,True
1,2,6,9000000.0,8054689.0,False,True,14558078.949999997,True
1,2,7,9000000.0,8054689.0,False,True,14532337.240000002,True
1,2,8,9000000.0,8054689.0,False,True,14512636.270000001,True
1,2,9,9000000.0,8054689.0,False,True,14498972.190000001,True
1,2,10,9000000.0,8054689.0,False,True,14487253.860000001,True
1,2,11,9000000.0,8054689.000002584,False,True,14480333.410000622,True
1,2,12,9000000.0,8054689.0,False,True,14479029.870000003,True
1,2,13,9000000.0,8054689.0,False,True,14479029.870000003,True
1,2,14,9000000.0,8054689.0,False,True,14479029.870000003,True
1,2,15,9000000.0,8054689.0,False,True,14479029.87,True
1,1,2,9000000.0,8054689.0,False,True,27830320.37,False
1,1,3,9000000.0,8054689.0,False,True,25143305.02,True
1,1,4,9000000.0,8054689.0,False,True,22904233.599999998,True
1,1,5,9000000.0,8054689.0,False,True,21808800.749999996,True
1,1,6,9000000.0,8054689.0,False,True,20999286.020000003,True
1,1,7,9000000.0,8054689.0,False,True,20546860.18,True
1,1,8,9000000.0,8054689.0,False,True,20347903.91,True
1,1,9,9000000.0,8054689.0,False,True,20263350.840000004,True
1,1,10,9000000.0,8054689.0,False,True,20197901.82,True
1,1,11,9000000.0,8054689.0,False,True,20180052.73,True
1,1,12,9000000.0,8054689.0,False,True,20176698.309999995,True
1,1,13,9000000.0,8054689.0,False,True,20176698.309999995,True
1,1,14,9000000.0,8054689.0,False,True,20176698.309999995,True
1,1,15,9000000.0,8054689.0,False,True,20176698.31,True
1,5,2,9000000.0,8054689.0,True,True,12569546.319999997,True
1,5,3,9000000.0,8054689.0,True,True,12142364.2,True
1,5,4,9000000.0,8054689.0,True,True,11852429.49,True
1,5,5,9000000.0,8054689.0,True,True,11657265.779999997,True
1,5,6,9000000.0,8054689.0,True,True,11630776.379999997,True
1,5,7,9000000.0,8054689.0,True,True,11607942.129999997,True
1,5,8,9000000.0,8054689.0,True,True,11588393.559999997,True
1,5,9,9000000.0,8054689.0,True,True,11574900.249999996,True
1,5,10,9000000.0,8054689.0,True,True,11563181.919999996,True
1,5,11,9000000.0,8054689.0,True,True,11556261.469999999,True
1,5,12,9000000.0,8054689.0,True,True,11554957.929999996,True
1,5,13,9000000.0,8054689.0,True,True,11554957.929999996,True
1,5,14,9000000.0,8054689.0,True,True,11554957.929999996,True
1,5,15,9000000.0,8054689.0,True,True,11554957.929999996,True
1,4,2,9000000.0,8054689.0,True,True,12569546.319999997,True
1,4,3,9000000.0,8054689.0,True,True,12142364.2,True
1,4,4,9000000.0,8054689.0,True,True,11852429.489999998,True
1,4,5,9000000.0,8054689.0,True,True,11657265.78,True
1,4,6,9000000.0,8054689.0,True,True,11630776.379999997,True
1,4,7,9000000.0,8054689.0,True,True,11607942.129999997,True
1,4,8,9000000.0,8054689.0,True,True,11588393.559999999,True
1,4,9,9000000.0,8054689.0,True,True,11574900.25,True
1,4,10,9000000.0,8054689.0,True,True,11563181.919999998,True
1,4,11,9000000.0,8054689.0,True,True,11556261.469999999,True
1,4,12,9000000.0,8054689.0,True,True,11554957.929999998,True
1,4,13,9000000.0,8054689.0,True,True,11554957.929999998,True
1,4,14,9000000.0,8054689.0,True,True,11554957.929999998,True
1,4,15,9000000.0,8054689.0,True,True,11554957.929999996,True
1,3,2,9000000.0,8054689.0,True,True,12818476.849999998,True
1,3,3,9000000.0,8054689.0,True,True,12182976.88,True
1,3,4,9000000.0,8054689.0,True,True,11890223.54,True
1,3,5,9000000.0,8054689.0,True,True,11695059.829999998,True
1,3,6,9000000.0,8054689.0,True,True,11661863.299999997,True
1,3,7,9000000.0,8054689.0,True,True,11635373.899999999,True
1,3,8,9000000.0,8054689.0,True,True,11612539.649999999,True
1,3,9,9000000.0,8054689.0,True,True,11599046.339999998,True
1,3,10,9000000.0,8054689.0,True,True,11587328.009999998,True
1,3,11,9000000.0,8054689.0,True,True,11580407.559999997,True
1,3,12,9000000.0,8054689.0,True,True,11579104.019999998,True
1,3,13,9000000.0,8054689.0,True,True,11579104.019999998,True
1,3,14,9000000.0,8054689.0,True,True,11579104.019999998,True
1,3,15,9000000.0,8054689.0,True,True,11579104.019999996,True
1,2,2,9000000.0,8054689.0,True,True,19288912.57,True
1,2,3,9000000.0,8054689.0,True,True,16146401.04,True
1,2,4,9000000.0,8054689.0,True,True,15390846.719999999,True
1,2,5,9000000.0,8054689.0,True,True,14628632.379999999,True
1,2,6,9000000.0,8054689.0,True,True,14558078.949999996,True
1,2,7,9000000.0,8054689.0,True,True,14532337.239999998,True
1,2,8,9000000.0,8054689.0,True,True,14512636.270000001,True
1,2,9,9000000.0,8054689.0,True,True,14498972.189999998,True
1,2,10,9000000.0,8054689.0,True,True,14487253.86,True
1,2,11,9000000.0,8054689.0,True,True,14480333.41,True
1,2,12,9000000.0,8054689.0,True,True,14479029.870000001,True
1,2,13,9000000.0,8054689.0,True,True,14479029.870000001,True
1,2,14,9000000.0,8054689.0,True,True,14479029.870000001,True
1,2,15,9000000.0,8054689.0,True,True,14479029.87,True
1,1,2,9000000.0,8054689.0,True,True,29687545.410000004,True
1,1,3,9000000.0,8054689.0,True,True,26727253.12,True
1,1,4,9000000.0,8054689.0,True,True,24316219.79,True
1,1,5,9000000.0,8054689.0,True,True,22094578.589999996,True
1,1,6,9000000.0,8054689.0,True,True,20999286.02,True
1,1,7,9000000.0,8054689.0,True,True,20546860.179999996,True
1,1,8,9000000.0,8054689.0,True,True,20347903.91,True
1,1,9,9000000.0,8054689.0,True,True,20263350.839999996,True
1,1,10,9000000.0,8054689.0,True,True,20197901.819999997,True
1,1,11,9000000.0,8054689.0,True,True,20180052.729999997,True
1,1,12,9000000.0,8054689.0,True,True,20176698.31,True
1,1,13,9000000.0,8054689.0,True,True,20176698.31,True
1,1,14,9000000.0,8054689.0,True,True,20176698.31,True
1,1,15,9000000.0,8054689.0,True,True,20176698.309999995,True
1,5,2,14062520.0,2992169.0,False,False,11835526.540000001,False
1,5,3,14062520.0,2992169.0,False,False,11579875.14,False
1,5,4,14473475.0,2581214.0,False,False,11428330.69,False
1,5,5,14473475.0,2581214.0,False,False,11346083.409999998,True
1,5,6,14473475.0,2581214.0,False,False,11319594.010000002,True
1,5,7,14473475.0,2581214.0,False,False,11298514.350000001,True
1,5,8,14473475.0,2581214.0,False,False,11284697.870000003,True
1,5,9,14473475.0,2581214.0,False,False,11271344.57,True
1,5,10,14473475.0,2581214.0,False,False,11259626.239999998,True
1,5,11,14473475.0,2581214.0,False,False,11251448.840000002,True
1,5,12,14473475.0,2581214.0,False,False,11250145.3,True
1,5,13,14473475.0,2581214.0,False,False,11250145.3,True
1,5,14,14473475.0,2581214.0,False,False,11250145.3,True
1,5,15,14473475.0,2581214.0,False,False,11250145.3,True
1,4,2,14062520.0,2992169.0,False,False,11835526.540000001,False
1,4,3,14062520.0,2992169.0,False,False,11579875.14,False
1,4,4,14473475.0,2581214.0,False,False,11428330.69,False
1,4,5,14473475.0,2581214.0,False,False,11346083.409999998,True
1,4,6,14473475.0,2581214.0,False,False,11319594.009999998,True
1,4,7,14473475.0,2581214.0,False,False,11298514.35,True
1,4,8,14473475.0,2581214.0,False,False,11284697.870000003,True
1,4,9,14473475.0,2581214.0,False,False,11271344.57,True
1,4,10,14473475.0,2581214.0,False,False,11259626.24,True
1,4,11,14473475.0,2581214.0,False,False,11251448.84,True
1,4,12,14473475.0,2581214.0,False,False,11250145.299999999,True
1,4,13,14473475.0,2581214.0,False,False,11250145.299999999,True
1,4,14,14473475.0,2581214.0,False,False,11250145.299999999,True
1,4,15,14473475.0,2581214.0,False,False,11250145.299999999,True
1,3,2,13855371.0,3199318.0,False,False,12090316.54,False
1,3,3,14353163.0,2701526.0,False,False,11719061.64,False
1,3,4,14353163.0,2701526.0,False,False,11469379.100000001,False
1,3,5,14353163.0,2701526.0,False,False,11387131.819999998,True
1,3,6,14365800.0,2688889.0,False,False,11351519.609999998,True
1,3,7,14365800.0,2688889.0,False,False,11325030.209999999,True
1,3,8,14365800.0,2688889.0,False,False,11311213.73,True
1,3,9,14365800.0,2688889.0,False,False,11297860.43,True
1,3,10,14365800.0,2688889.0,False,False,11286142.1,True
1,3,11,14365800.0,2688889.0,False,False,11277964.7,True
1,3,12,14365800.0,2688889.0,False,False,11276661.16,True
1,3,13,14365800.0,2688889.0,False,False,11276661.16,True
1,3,14,14365800.0,2688889.0,False,False,11276661.16,True
1,3,15,14365800.0,2688889.0,False,False,11276661.16,True
1,2,2,17054689.0,0.0,False,False,17132396.11,True
1,2,3,17054689.0,0.0,False,False,15814243.62,False
1,2,4,14102340.0,2952349.0,False,False,14980688.139999997,False
1,2,5,14151515.0,2903174.0,False,False,14411405.560000002,True
1,2,6,14151515.0,2903174.0,False,False,14312542.7,True
1,2,7,14151515.0,2903174.0,False,False,14279536.590000002,True
1,2,8,14151515.0,2903174.0,False,False,14253794.879999999,True
1,2,9,14151515.0,2903174.0,False,False,14234492.280000001,True
1,2,10,14151515.0,2903174.0,False,False,14222773.95,True
1,2,11,14151515.0,2903174.0,False,False,14212061.950000001,True
1,2,12,14151515.0,2903174.0,False,False,14207370.27,True
1,2,13,14151515.0,2903174.0,False,False,14207370.27,True
1,2,14,14151515.0,2903174.0,False,False,14207370.27,True
1,2,15,14178465.0,2876224.0,False,False,14207370.27,True
1,1,2,17054689.0,0.0,False,False,27202336.91,False
1,1,3,17054689.0,0.0,False,False,24791509.93,True
1,1,4,17054689.0,0.0,False,False,22589156.430000003,True
1,1,5,17054689.0,0.0,False,False,21477131.990000002,True
1,1,6,14170963.0,2883726.0,False,False,20752246.349999998,True
1,1,7,14170963.0,2883726.0,False,False,20297011.56,True
1,1,8,14170963.0,2883726.0,False,False,20100864.240000002,True
1,1,9,14185686.0,2869003.0,False,False,19987693.42,True
1,1,10,14185686.0,2869003.0,False,False,19913964.580000002,True
1,1,11,14185686.0,2869003.0,False,False,19896115.49,True
1,1,12,14185686.0,2869003.0,False,False,19892761.070000004,True
1,1,13,14185686.0,2869003.0,False,False,19891788.270000003,True
1,1,14,14185686.0,2869003.0,False,False,19891788.270000003,True
1,1,15,14185686.0,2869003.0,False,False,19891788.270000003,True
1,5,2,12432942.0,4621747.0,True,False,12274705.619999997,True
1,5,3,14062520.0,2992169.0,True,False,11727497.8,True
1,5,4,14062520.0,2992169.0,True,False,11497627.86,True
1,5,5,14473475.0,2581214.0,True,False,11346083.409999998,True
1,5,6,14473475.0,2581214.0,True,False,11319594.009999998,True
1,5,7,14473475.0,2581214.0,True,False,11298514.349999998,True
1,5,8,14473475.0,2581214.0,True,False,11284697.869999997,True
1,5,9,14473475.0,2581214.0,True,False,11271344.569999998,True
1,5,10,14473475.0,2581214.0,True,False,11259626.239999998,True
1,5,11,14473475.0,2581214.0,True,False,11251448.839999998,True
1,5,12,14473475.0,2581214.0,True,False,11250145.299999997,True
1,5,13,14473475.0,2581214.0,True,False,11250145.299999997,True
1,5,14,14473475.0,2581214.0,True,False,11250145.299999997,True
1,5,15,14473475.0,2581214.0,True,False,11250145.3,True
1,4,2,12432942.0,4621747.0,True,False,12274705.619999997,True
1,4,3,14062520.0,2992169.0,True,False,11727497.799999999,True
1,4,4,14062520.0,2992169.0,True,False,11497627.859999998,True
1,4,5,14473475.0,2581214.0,True,False,11346083.409999996,True
1,4,6,14473475.0,2581214.0,True,False,11319594.009999998,True
1,4,7,14473475.0,2581214.0,True,False,11298514.349999996,True
1,4,8,14473475.0,2581214.0,True,False,11284697.869999997,True
1,4,9,14473475.0,2581214.0,True,False,11271344.569999997,True
1,4,10,14473475.0,2581214.0,True,False,11259626.239999996,True
1,4,11,14473475.0,2581214.0,True,False,11251448.839999998,True
1,4,12,14473475.0,2581214.0,True,False,11250145.299999997,True
1,4,13,14473475.0,2581214.0,True,False,11250145.299999997,True
1,4,14,14473475.0,2581214.0,True,False,11250145.299999997,True
1,4,15,14473475.0,2581214.0,True,False,11250145.299999997,True
1,3,2,12432942.0,4621747.0,True,False,12523636.149999997,True
1,3,3,13855371.0,3199318.0,True,False,11982287.799999999,True
1,3,4,14178739.0,2875950.0,True,False,11602629.599999998,True
1,3,5,14353163.0,2701526.0,True,False,11387131.819999997,True
1,3,6,14365800.0,2688889.0,True,False,11351519.609999996,True
1,3,7,14365800.0,2688889.0,True,False,11325030.209999997,True
1,3,8,14365800.0,2688889.0,True,False,11311213.729999997,True
1,3,9,14365800.0,2688889.0,True,False,11297860.429999998,True
1,3,10,14365800.0,2688889.0,True,False,11286142.099999998,True
1,3,11,14365800.0,2688889.0,True,False,11277964.7,True
1,3,12,14365800.0,2688889.0,True,False,11276661.159999996,True
1,3,13,14365800.0,2688889.0,True,False,11276661.159999996,True
1,3,14,14365800.0,2688889.0,True,False,11276661.159999996,True
1,3,15,14365800.0,2688889.0,True,False,11276661.16,True
1,2,2,11712073.0,5342616.0,True,False,18982917.38,True
1,2,3,14049050.0,3005639.0,True,False,15825096.87,True
1,2,4,14062173.0,2992516.0,True,False,15122483.279999997,True
1,2,5,14151515.0,2903174.0,True,False,14411405.559999999,True
1,2,6,14151515.0,2903174.0,True,False,14312542.699999996,True
1,2,7,14151515.0,2903174.0,True,False,14279536.589999996,True
1,2,8,14151515.0,2903174.0,True,False,14253794.879999999,True
1,2,9,14151515.0,2903174.0,True,False,14234492.279999997,True
1,2,10,14151515.0,2903174.0,True,False,14222773.949999997,True
1,2,11,14151515.0,2903174.0,True,False,14212061.95,True
1,2,12,14151515.0,2903174.0,True,False,14207370.27,True
1,2,13,14151515.0,2903174.0,True,False,14207370.27,True
1,2,14,14151515.0,2903174.0,True,False,14207370.27,True
1,2,15,14178465.0,2876224.0,True,False,14207370.269999998,True
1,1,2,11825652.0,5229037.0,True,False,29391705.150000006,True
1,1,3,12985772.0,4068917.0,True,False,26306308.34,True
1,1,4,14051371.0,3003318.0,True,False,24037212.749999996,True
1,1,5,14197913.0,2856776.0,True,False,21859219.66,True
1,1,6,14197913.0,2856776.0,True,False,20752246.349999998,True
1,1,7,14197913.0,2856776.0,True,False,20297011.560000002,True
1,1,8,14197913.0,2856776.0,True,False,20100864.24,True
1,1,9,14212636.0,2842053.0,True,False,19987693.42,True
1,1,10,14212636.0,2842053.0,True,False,19913964.58,True
1,1,11,14212636.0,2842053.0,True,False,19896115.490000002,True
1,1,12,14185686.0,2869003.0,True,False,19892761.07,True
1,1,13,14212636.0,2842053.0,True,False,19891788.27,True
1,1,14,14212636.0,2842053.0,True,False,19891788.27,True
1,1,15,14212636.0,2842053.0,True,False,19891788.27,True
